measurement_mode,wavelength_nm,pb_ii_amount_umol,response_value_1,response_value_2,response_value_3,response_value_4,response_value_5,response_mean,response_sd,source_sheet,source_row
direct_scattering,405,5,1.41481,1.41781,1.472,1.406,1.46373,1.43487,0.0305714760847429,Sheet1,3
direct_scattering,405,10,1.54074,1.5274,1.528,1.521,1.54311,1.53205,0.00946001057081863,Sheet1,4
direct_scattering,405,20,1.61832,1.59854,1.63115,1.635,1.59699,1.616,0.0177632809469421,Sheet1,5
direct_scattering,405,30,1.75,1.73134,1.704,1.744,1.71291,1.72845,0.0197094596577379,Sheet1,6
direct_scattering,405,40,1.808,1.80303,1.792,1.803,1.79902,1.80101,0.00595904354741585,Sheet1,7
direct_scattering,405,50,1.84127,1.86047,1.89063,1.872,1.85623,1.86412,0.0184565137553114,Sheet1,8
indirect_absorbance,405,0.1,0.07539,0.07745,0.07745,0.07796,0.0756,0.07677,0.00118471515563869,Sheet1,13
indirect_absorbance,405,0.3,0.07779,0.07712,0.07539,0.07802,0.07553,0.07677,0.00124171252711729,Sheet1,14
indirect_absorbance,405,0.5,0.07366,0.07506,0.07255,0.07503,0.07255,0.07377,0.00124905964629396,Sheet1,15
indirect_absorbance,405,0.8,0.06339,0.0616,0.06812,0.06775,0.061,0.064372,0.00337183481208674,Sheet1,16
indirect_absorbance,405,1,0.05528,0.0575,0.05528,0.0573,0.05474,0.05602,0.00128085908670704,Sheet1,17
indirect_absorbance,405,2,0.04246,0.04413,0.04625,0.04618,0.0424,0.044284,0.00189473744883031,Sheet1,18
indirect_absorbance,405,3,0.03629,0.04194,0.04194,0.04332,0.0368,0.040058,0.00326101517935749,Sheet1,19
indirect_absorbance,405,5,0.03728,0.04269,0.03951,0.04252,0.0371,0.03982,0.00271445206257174,Sheet1,20
indirect_absorbance,405,10,0.03415,0.03521,0.03136,0.03558,0.0316,0.03358,0.001989384326871,Sheet1,21
indirect_absorbance,405,15,0.03371,0.03177,0.03401,0.03437,0.03192,0.033156,0.00122052447742763,Sheet1,22
indirect_absorbance,405,20,0.02958,0.02945,0.03342,0.03308,0.02856,0.030818,0.00225774666426506,Sheet1,23
indirect_absorbance,520,0.2,0.0425,0.04394,0.04122,0.04043,0.03809,0.04124,0.00221,Sheet1,28
indirect_absorbance,520,0.3,0.04895,0.04501,0.04004,0.04936,0.04001,0.04467,0.00457,Sheet1,29
indirect_absorbance,520,0.5,0.06252,0.05799,0.06042,0.06156,0.05912,0.06032,0.00182,Sheet1,30
indirect_absorbance,520,0.8,0.08478,0.08432,0.08387,0.08552,0.08312,0.08432,0.00091,Sheet1,31
indirect_absorbance,520,1,0.10756,0.09691,0.10623,0.10712,0.10002,0.10357,0.00481,Sheet1,32
indirect_absorbance,520,2,0.11731,0.10855,0.10646,0.11651,0.105,0.11077,0.00576,Sheet1,33
indirect_absorbance,520,3,0.1256,0.12564,0.10227,0.13138,0.10438,0.11785,0.01349,Sheet1,34
indirect_absorbance,520,5,0.12227,0.12359,0.14118,0.13957,0.11845,0.12901,0.01056,Sheet1,35
indirect_absorbance,520,10,0.1347,0.152,0.1533,0.15691,0.13622,0.14663,0.01036,Sheet1,36
indirect_absorbance,520,15,0.14857,0.15548,0.15462,0.15664,0.14913,0.15289,0.00376,Sheet1,37
