sample,pb_ii_added_uM,response_value_1,response_value_2,response_value_3,response_value_4,response_value_5,response_mean,response_sd,source_sheet,source_row
Lake water,0.4,0.05736,0.05894,0.0542,0.0542,0.0542,0.05578,0.00223446,Sheet1,3
Lake water,10,1.51572,1.51582,1.52977,1.50977,1.51777,1.51777,0.00734855,Sheet1,4
Lake water,40,1.78812,1.80579,1.80858,1.77696,1.79696,1.795282,0.01301019,Sheet1,5
River water,0.4,0.05183,0.04867,0.05973,0.05657,0.0621,0.05578,0.00553,Sheet1,6
River water,10,1.516,1.5267,1.51182,1.5267,1.51507,1.519258,0.00696858,Sheet1,7
River water,40,1.78654,1.80765,1.79221,1.79221,1.79221,1.794164,0.00792862,Sheet1,8
Domestic sewage,0.4,0.08185,0.08027,0.08027,0.06763,0.07553,0.07711,0.00580529,Sheet1,9
Domestic sewage,10,1.50949,1.53628,1.52567,1.53637,1.528,1.527162,0.01099037,Sheet1,10
Domestic sewage,40,1.8375,1.80728,1.79575,1.7871,1.80737,1.807,0.01905937,Sheet1,11
Industrial wastewater,0.4,0.11309,0.11354,0.11232,0.11305,0.11379,0.113158,0.00056211,Sheet1,12
Industrial wastewater,10,1.53665,1.54316,1.54279,1.55404,1.53079,1.541486,0.00865877,Sheet1,13
Industrial wastewater,40,1.84169,1.85703,1.78803,1.8309,1.76803,1.817136,0.03755808,Sheet1,14
